t_ms,condition,mode,band,f_lo,f_hi,energyN,threshold,hysteresis,cooldown_ms
80916,baseline,FILE,2,800.00,3000.00,0.002126,31.243,1.150,120
81066,baseline,FILE,4,8000.00,20000.00,0.161201,9.749,1.150,120
81167,baseline,FILE,3,3000.00,8000.00,0.001563,26.532,1.150,120
81283,baseline,FILE,1,200.00,800.00,0.030079,117.551,1.150,120
81283,baseline,FILE,2,800.00,3000.00,0.080854,31.243,1.150,120
81299,baseline,FILE,3,3000.00,8000.00,0.061789,26.532,1.150,120
81382,baseline,FILE,4,8000.00,20000.00,0.410887,9.749,1.150,120
81417,baseline,FILE,1,200.00,800.00,0.520120,117.551,1.150,120
81417,baseline,FILE,2,800.00,3000.00,0.510592,31.243,1.150,120
81433,baseline,FILE,3,3000.00,8000.00,0.373448,26.532,1.150,120
81533,baseline,FILE,4,8000.00,20000.00,0.387382,9.749,1.150,120
81632,baseline,FILE,1,200.00,800.00,0.092058,117.551,1.150,120
81632,baseline,FILE,2,800.00,3000.00,0.111796,31.243,1.150,120
81632,baseline,FILE,3,3000.00,8000.00,0.103886,26.532,1.150,120
81800,baseline,FILE,2,800.00,3000.00,0.045000,31.243,1.150,120
81800,baseline,FILE,4,8000.00,20000.00,0.127376,9.749,1.150,120
81850,baseline,FILE,3,3000.00,8000.00,0.023425,26.532,1.150,120
82098,baseline,FILE,2,800.00,3000.00,0.396132,31.243,1.150,120
82098,baseline,FILE,3,3000.00,8000.00,0.173278,26.532,1.150,120
82099,baseline,FILE,4,8000.00,20000.00,0.206872,9.749,1.150,120
82335,MARK,mark-4
82365,baseline,FILE,3,3000.00,8000.00,0.135855,26.532,1.150,120
82466,baseline,FILE,1,200.00,800.00,0.064711,117.551,1.150,120
82466,baseline,FILE,2,800.00,3000.00,0.103690,31.243,1.150,120
82499,baseline,FILE,3,3000.00,8000.00,0.053080,26.532,1.150,120
82583,baseline,FILE,4,8000.00,20000.00,0.104364,9.749,1.150,120
82632,baseline,FILE,3,3000.00,8000.00,0.269476,26.532,1.150,120
82833,baseline,FILE,1,200.00,800.00,0.010143,117.551,1.150,120
82833,baseline,FILE,4,8000.00,20000.00,0.141058,9.749,1.150,120
83149,baseline,FILE,4,8000.00,20000.00,0.054488,9.749,1.150,120
83367,baseline,FILE,4,8000.00,20000.00,0.123965,9.749,1.150,120
83717,baseline,FILE,4,8000.00,20000.00,0.077560,9.749,1.150,120
84149,baseline,FILE,1,200.00,800.00,0.133690,117.551,1.150,120
84200,baseline,FILE,4,8000.00,20000.00,0.070675,9.749,1.150,120
84333,baseline,FILE,4,8000.00,20000.00,0.180968,9.749,1.150,120
84450,baseline,FILE,2,800.00,3000.00,0.120129,31.243,1.150,120
84467,baseline,FILE,4,8000.00,20000.00,0.080170,9.749,1.150,120
84666,baseline,FILE,1,200.00,800.00,0.153354,117.551,1.150,120
84667,baseline,FILE,4,8000.00,20000.00,0.290611,9.749,1.150,120
85034,baseline,FILE,4,8000.00,20000.00,0.046183,9.749,1.150,120
85184,baseline,FILE,1,200.00,800.00,0.026125,117.551,1.150,120
85184,baseline,FILE,4,8000.00,20000.00,0.056647,9.749,1.150,120
